Using device: cpu
| epoch   8 |  2800/ 2826 batches | lr 20.00 | ms/batch 268.04 | loss  4.31 | ppl    74.29
-----------------------------------------------------------------------------------------
| end of epoch   8 | time: 724.37s | valid loss  4.13 | valid ppl    62.47
-----------------------------------------------------------------------------------------
| epoch   9 |   100/ 2826 batches | lr 20.00 | ms/batch 270.55 | loss  4.35 | ppl    77.43
| epoch   9 |   200/ 2826 batches | lr 20.00 | ms/batch 231.00 | loss  4.28 | ppl    72.47
| epoch   9 |   300/ 2826 batches | lr 20.00 | ms/batch 285.06 | loss  4.25 | ppl    69.97
| epoch   9 |   400/ 2826 batches | lr 20.00 | ms/batch 229.78 | loss  4.32 | ppl    74.99
| epoch   9 |   500/ 2826 batches | lr 20.00 | ms/batch 240.06 | loss  4.29 | ppl    72.62
| epoch   9 |   600/ 2826 batches | lr 20.00 | ms/batch 268.11 | loss  4.29 | ppl    72.74
| epoch   9 |   700/ 2826 batches | lr 20.00 | ms/batch 256.36 | loss  4.23 | ppl    68.85
| epoch   9 |   800/ 2826 batches | lr 20.00 | ms/batch 299.40 | loss  4.27 | ppl    71.88
| epoch   9 |   900/ 2826 batches | lr 20.00 | ms/batch 269.84 | loss  4.26 | ppl    70.99
| epoch   9 |  1000/ 2826 batches | lr 20.00 | ms/batch 254.98 | loss  4.31 | ppl    74.30
| epoch   9 |  1100/ 2826 batches | lr 20.00 | ms/batch 234.98 | loss  4.28 | ppl    72.55
| epoch   9 |  1200/ 2826 batches | lr 20.00 | ms/batch 200.14 | loss  4.28 | ppl    72.53
| epoch   9 |  1300/ 2826 batches | lr 20.00 | ms/batch 234.18 | loss  4.25 | ppl    70.28
| epoch   9 |  1400/ 2826 batches | lr 20.00 | ms/batch 226.70 | loss  4.28 | ppl    72.29
| epoch   9 |  1500/ 2826 batches | lr 20.00 | ms/batch 245.20 | loss  4.30 | ppl    73.39
| epoch   9 |  1600/ 2826 batches | lr 20.00 | ms/batch 262.77 | loss  4.25 | ppl    70.26
| epoch   9 |  1700/ 2826 batches | lr 20.00 | ms/batch 228.17 | loss  4.27 | ppl    71.47
| epoch   9 |  1800/ 2826 batches | lr 20.00 | ms/batch 256.43 | loss  4.31 | ppl    74.60
| epoch   9 |  1900/ 2826 batches | lr 20.00 | ms/batch 247.58 | loss  4.26 | ppl    70.81
| epoch   9 |  2000/ 2826 batches | lr 20.00 | ms/batch 264.08 | loss  4.27 | ppl    71.55
